Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,108, ,A1, 7 FURMAN STREET                           ,            ,10312,1,0,1,"6,400","2,076",1970, 1 , A1 ,$0,10/10/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,180, ,A2, 53 PINE TERRACE                           ,            ,10312,1,0,1,"6,000","1,560",1960, 1 , A2 ,$0,10/23/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,8, ,A2, 275 ALBEE AVENUE                          ,            ,10312,1,0,1,"6,180","1,946",1975, 1 , A2 ,"$427,500",8/30/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,25, ,A1, 1052 ANNADALE ROAD                        ,            ,10312,1,0,1,"4,386","2,300",2011, 1 , A1 ,"$507,000",4/17/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,25, ,A1, 1052 ANNADALE ROAD                        ,            ,10312,1,0,1,"4,386","2,300",2011, 1 , A1 ,$0,2/13/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,26, ,A1, 1054 ANNADALE ROAD                        ,            ,10312,1,0,1,"4,201","2,300",2011, 1 , A1 ,"$499,902",7/26/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,33, ,A1, 1042 ANNADALE ROAD                        ,            ,10312,1,0,1,"13,728","2,688",1925, 1 , A1 ,"$629,111",5/7/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,38, ,A1, 1040 ANNADALE ROAD                        ,            ,10312,1,0,1,"7,198","1,520",1925, 1 , A1 ,"$570,189",5/7/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,163, ,A1, 39 ELY AVENUE                             ,            ,10312,1,0,1,"4,452","1,768",1965, 1 , A1 ,"$500,000",1/28/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,215, ,A1, 1002 ANNADALE ROAD                        ,            ,10312,1,0,1,"4,980","2,208",2012, 1 , A1 ,"$595,676",5/31/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,216, ,A1, 998 ANNADALE ROAD                         ,            ,10312,1,0,1,"4,864","2,208",2012, 1 , A1 ,"$599,999",12/7/2012
