"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"2170",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5265,57," ","B2","262 BEACH ROAD                           ","            ",10312,2,0,2,"5,700","1,976",1950,1,"B2","$510,000",2012-11-08,510000,1976,5700,0
"2171",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5266,29," ","B2","206 PACIFIC AVENUE                       ","            ",10312,2,0,2,"4,333","3,070",2004,1,"B2","$750,000",2012-09-19,750000,3070,4333,0
"2172",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5267,66," ","B3","281 WINCHESTER AVENUE                    ","            ",10312,2,0,2,"5,000","2,240",1965,1,"B3","$575,000",2012-10-17,575000,2240,5000,0
"2174",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5280,56," ","B1","41 WILLIAM AVENUE                        ","            ",10308,2,0,2,"3,800","2,166",1955,1,"B1","$535,000",2012-11-07,535000,2166,3800,0
"2175",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5284,55," ","B2","203 BEACH ROAD                           ","            ",10312,2,0,2,"3,800","1,391",1960,1,"B2","$402,500",2013-04-11,402500,1391,3800,0
"2177",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5293,42," ","B9","139 RIDGECREST AVENUE                    ","            ",10312,2,0,2,"4,500","2,655",1995,1,"B9","$545,000",2013-05-31,545000,2655,4500,0
"2179",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5299,102," ","B9","45 PERONA LANE                           ","            ",10308,2,0,2,"2,600","2,290",2006,1,"B9","$521,853",2012-10-16,521853,2290,2600,0
"2180",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5306,139," ","B2","21 GOODALL STREET                        ","            ",10308,2,0,2,"6,750","4,060",1988,1,"B2","$790,010",2013-07-11,790010,4060,6750,0
"2182",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5310,97," ","B9","57 HEINZ AVENUE                          ","            ",10308,2,0,2,"2,500","1,784",1987,1,"B9","$385,000",2012-10-10,385000,1784,2500,0
"2183",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5433,75," ","B2","29 COLON AVENUE                          ","            ",10308,2,0,2,"5,895","3,524",2011,1,"B2","$621,132",2013-05-09,621132,3524,5895,0
"2185",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5434,18," ","B2","72 MARGARET STREET                       ","            ",10308,2,0,2,"4,000","2,250",2012,1,"B2","$743,322",2012-12-06,743322,2250,4000,0
"2186",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5434,19," ","B2","76 MARGARET STREET                       ","            ",10308,2,0,2,"4,000","2,250",2012,1,"B2","$725,000",2013-04-15,725000,2250,4000,0
"2187",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5436,4," ","B2","19 BALTIMORE STREET                      ","            ",10308,2,0,2,"6,800","2,420",1935,1,"B2","$344,550",2012-10-18,344550,2420,6800,0
"2189",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5442,176," ","B2","214 GIFFORDS LANE                        ","            ",10308,2,0,2,"3,480","3,360",1976,1,"B2","$465,340",2012-12-07,465340,3360,3480,0
"2190",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5444,71," ","B9","30 ARKANSAS AVENUE                       ","            ",10308,2,0,2,"2,954","1,612",1998,1,"B9","$369,000",2013-02-19,369000,1612,2954,0
"2192",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5446,58," ","B2","312 DOANE AVENUE                         ","            ",10308,2,0,2,"4,000","2,296",1980,1,"B2","$625,000",2013-06-14,625000,2296,4000,0
"2194",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5450,135," ","B9","116 PEMBERTON AVENUE                     ","            ",10308,2,0,2,"5,192","3,120",1995,1,"B9","$572,500",2013-05-30,572500,3120,5192,0
"2195",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5451,71," ","B2","477 COLON AVENUE                         ","            ",10308,2,0,2,"4,100","2,192",1975,1,"B2","$480,000",2013-03-07,480000,2192,4100,0
"2196",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5452,59," ","B9","4147 AMBOY ROAD                          ","            ",10308,2,0,2,"6,888","2,477",2007,1,"B9","$470,700",2013-06-10,470700,2477,6888,0
"2200",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5459,80," ","B2","383 BROOKFIELD AVENUE                    ","            ",10308,2,0,2,"3,000","1,880",1975,1,"B2","$250,000",2012-11-15,250000,1880,3000,0
"2204",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5465,26," ","B2","94 ESCANABA AVENUE                       ","            ",10308,2,0,2,"4,000","2,506",1970,1,"B2","$450,000",2013-01-16,450000,2506,4000,0
"2205",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5465,46," ","B2","16 FERN AVENUE                           ","            ",10308,2,0,2,"8,000","1,424",1965,1,"B2","$675,000",2012-09-12,675000,1424,8000,0
"2206",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5465,52," ","B2","28 FERN AVENUE                           ","            ",10308,2,0,2,"4,112","2,276",1970,1,"B2","$495,000",2012-09-24,495000,2276,4112,0
"2210",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5471,32," ","B2","12 EAST STROUD AVENUE                    ","            ",10308,2,0,2,"4,000","1,680",1965,1,"B2","$183,800",2013-07-18,183800,1680,4000,0
"2211",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5471,58," ","B2","37 EAST SCRANTON AVENUE                  ","            ",10308,2,0,2,"4,400","1,336",1965,1,"B2","$555,000",2013-06-04,555000,1336,4400,0
"2212",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5472,19," ","B2","414 LEVERETT AVENUE                      ","            ",10308,2,0,2,"4,100","1,660",1970,1,"B2","$640,000",2013-05-22,640000,1660,4100,0
"2213",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5472,31," ","B2","390 LEVERETT AVENUE                      ","            ",10308,2,0,2,"4,100","1,712",1970,1,"B2","$450,000",2013-04-05,450000,1712,4100,0
"2218",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5484,50," ","B2","26 DEMOPOLIS AVENUE                      ","            ",10308,2,0,2,"4,200","2,387",1970,1,"B2","$565,000",2013-03-13,565000,2387,4200,0
"2219",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5484,56," ","B2","42 DEMOPOLIS AVENUE                      ","            ",10308,2,0,2,"4,200","2,387",1970,1,"B2","$515,000",2012-11-27,515000,2387,4200,0
"2221",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5491,4," ","B2","343 RIDGEWOOD AVENUE                     ","            ",10312,2,0,2,"3,570","2,680",1997,1,"B2","$690,000",2013-01-18,690000,2680,3570,0
"2225",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5497,196," ","B2","344 WILSON AVENUE                        ","            ",10312,2,0,2,"9,200","4,785",2010,1,"B2","$784,052",2012-09-19,784052,4785,9200,0
"2229",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5518,176," ","B2","194 RIDGEWOOD AVENUE                     ","            ",10312,2,0,2,"3,848","1,500",1984,1,"B2","$530,000",2012-12-18,530000,1500,3848,0
"2233",5,"GREAT KILLS              ","02  TWO FAMILY HOMES                        ","1",5531,196," ","B2","355 BARTLETT AVENUE                      ","            ",10312,2,0,2,"4,000","2,317",1980,1,"B2","$280,000",2013-02-20,280000,2317,4000,0
"2334",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",4698,50," ","A2","120 MONTREAL AVENUE                      ","            ",10306,1,0,1,"6,000","1,576",1945,1,"A2","$530,000",2012-08-08,530000,1576,6000,0
"2335",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",4710,118," ","A5","2047 SOUTH RAILROAD AVE                  ","            ",10306,1,0,1,"2,458","1,440",1965,1,"A5","$180,000",2012-12-18,180000,1440,2458,0
"2336",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",4960,27," ","A2","14 EMMET AVENUE                          ","            ",10306,1,0,1,"4,000","1,040",1950,1,"A2","$450,000",2013-06-27,450000,1040,4000,0
"2338",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",4971,17," ","A5","10 O'GORMAN AVENUE                       ","            ",10306,1,0,1,"2,500","1,140",1970,1,"A5","$85,690",2013-01-23,85690,1140,2500,0
"2340",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5015,166," ","A5","29 JUSTIN AVENUE                         ","            ",10306,1,0,1,"1,200","1,500",2004,1,"A5","$317,500",2013-05-30,317500,1500,1200,0
"2343",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5020,31," ","A5","66 JUSTIN AVENUE                         ","            ",10306,1,0,1,"2,436","1,564",1965,1,"A5","$320,000",2013-02-28,320000,1564,2436,0
"2345",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5091,48," ","A5","17 TAUNTON STREET                        ","            ",10306,1,0,1,"2,322","1,176",1970,1,"A5","$305,000",2012-10-17,305000,1176,2322,0
"2347",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5094,6," ","A5","52 TAUNTON STREET                        ","            ",10306,1,0,1,"2,300","1,176",1970,1,"A5","$351,745",2013-07-01,351745,1176,2300,0
"2351",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5095,33," ","A5","323 O'GORMAN AVENUE                      ","            ",10306,1,0,1,"2,760","1,520",1975,1,"A5","$302,000",2012-08-27,302000,1520,2760,0
"2352",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5095,36," ","A1","41 BARTOW STREET                         ","            ",10308,1,0,1,"4,000","3,304",2007,1,"A1","$728,048",2013-05-24,728048,3304,4000,0
"2354",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5098,18," ","A5","76 BARTOW STREET                         ","            ",10308,1,0,1,"2,500","1,176",1975,1,"A5","$375,000",2013-07-11,375000,1176,2500,0
"2357",5,"GREAT KILLS-BAY TERRACE  ","01  ONE FAMILY HOMES                        ","1",5115,33," ","A2","98 KEEGANS LANE                          ","            ",10308,1,0,1,"5,800","1,232",1960,1,"A2","$452,000",2012-11-26,452000,1232,5800,0
"2366",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",4969,21," ","B2","64 HOPKINS AVENUE                        ","            ",10306,2,0,2,"4,200","2,488",1970,1,"B2","$548,000",2013-01-28,548000,2488,4200,0
"2368",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",4975,9," ","B2","133 HOPKINS AVENUE                       ","            ",10306,2,0,2,"5,000","2,392",1965,1,"B2","$400,000",2012-08-08,4e+05,2392,5000,0
"2369",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",4977,33," ","B2","95 HOOPER AVENUE                         ","            ",10306,2,0,2,"4,000","2,040",1970,1,"B2","$499,500",2013-05-29,499500,2040,4000,0
"2372",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",5019,27," ","B2","136 TWOMBLY AVENUE                       ","            ",10306,2,0,2,"5,760","2,184",1965,1,"B2","$520,000",2013-05-30,520000,2184,5760,0
"2374",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",5023,20," ","B2","158 HOOPER AVENUE                        ","            ",10306,2,0,2,"3,916","2,288",1960,1,"B2","$485,000",2013-06-12,485000,2288,3916,0
"2377",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",5025,34," ","B2","64 KELVIN AVENUE                         ","            ",10306,2,0,2,"6,000","2,444",1960,1,"B2","$545,000",2013-05-03,545000,2444,6000,0
"2380",5,"GREAT KILLS-BAY TERRACE  ","02  TWO FAMILY HOMES                        ","1",5096,34," ","B2","83 BARTOW STREET                         ","            ",10308,2,0,2,"4,000","2,036",1975,1,"B2","$600,000",2013-06-13,6e+05,2036,4000,0
"2390",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",590,89," ","A2","76 BERTHA PLACE                          ","            ",10301,1,0,1,"6,000","1,507",1955,1,"A2","$775,000",2012-11-26,775000,1507,6000,0
"2391",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",592,17," ","A1","35 DUNCAN ROAD                           ","            ",10301,1,0,1,"20,332","2,380",1920,1,"A1","$980,000",2012-08-14,980000,2380,20332,0
"2392",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",592,320," ","A1","15 GRYMES HILL ROAD                      ","            ",10301,1,0,1,"12,000","5,781",1930,1,"A1","$404,500",2013-07-22,404500,5781,12000,0
"2394",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",597,49," ","A2","85 HIGHLAND AVENUE                       ","            ",10301,1,0,1,"5,000","1,340",1955,1,"A2","$435,000",2012-10-04,435000,1340,5000,0
"2395",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",614,172," ","A1","11 SHELTERVIEW DRIVE                     ","            ",10304,1,0,1,"7,296","1,952",1920,1,"A1","$427,500",2012-11-19,427500,1952,7296,0
"2397",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",618,59," ","A1","201 HILLSIDE AVENUE                      ","            ",10304,1,0,1,"2,236","958",1910,1,"A1","$165,100",2012-10-24,165100,958,2236,0
"2398",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",618,59," ","A1","201 HILLSIDE AVENUE                      ","            ",10304,1,0,1,"2,236","958",1910,1,"A1","$373,264",2012-08-22,373264,958,2236,0
"2399",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",618,66," ","A1","189 HILLSIDE AVENUE                      ","            ",10304,1,0,1,"5,000","1,122",1899,1,"A1","$360,500",2013-07-25,360500,1122,5000,0
"2402",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",619,152," ","A1","33 CLAIRE COURT                          ","            ",10301,1,0,1,"9,630","2,457",1979,1,"A1","$915,000",2013-06-25,915000,2457,9630,0
"2403",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",627,17," ","A2","96 CEDAR TERRACE                         ","            ",10304,1,0,1,"9,800","2,058",1950,1,"A2","$109,250",2012-11-07,109250,2058,9800,0
"2405",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",630,21," ","A2","107 LONGVIEW ROAD                        ","            ",10304,1,0,1,"6,675","1,880",1950,1,"A2","$440,000",2012-12-21,440000,1880,6675,0
"2407",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",630,45," ","A1","20 WETMORE ROAD                          ","            ",10301,1,0,1,"7,560","2,090",1975,1,"A1","$875,000",2013-04-11,875000,2090,7560,0
"2408",5,"GRYMES HILL              ","01  ONE FAMILY HOMES                        ","1",631,130," ","A1","108 LONGVIEW ROAD                        ","            ",10304,1,0,1,"10,310","4,717",1930,1,"A1","$900,000",2013-02-26,9e+05,4717,10310,0
"2409",5,"GRYMES HILL              ","02  TWO FAMILY HOMES                        ","1",591,59," ","B2","42 DUNCAN STREET                         ","            ",10304,2,0,2,"2,600","1,622",1920,1,"B2","$607,500",2013-07-17,607500,1622,2600,0
"2410",5,"GRYMES HILL              ","02  TWO FAMILY HOMES                        ","1",593,705," ","B9","217 ARLO ROAD                            ","            ",10301,2,0,2,"1,091","1,858",1996,1,"B9","$351,000",2012-12-18,351000,1858,1091,0
"2413",5,"GRYMES HILL              ","02  TWO FAMILY HOMES                        ","1",623,130," ","B2","1046 VAN DUZER STREET                    ","            ",10304,2,0,2,"11,076","1,671",1920,1,"B2","$247,000",2012-10-12,247000,1671,11076,0
"2414",5,"GRYMES HILL              ","03  THREE FAMILY HOMES                      ","1",618,17," ","C0","868 VAN DUZER STREET                     ","            ",10304,3,0,3,"3,725","1,848",1899,1,"C0","$210,000",2012-11-07,210000,1848,3725,0
"2431",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6312,39," ","A2","511 LAMONT AVENUE                        ","            ",10312,1,0,1,"4,000","1,767",1974,1,"A2","$545,000",2012-09-24,545000,1767,4000,0
"2432",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6313,18," ","A2","486 RATHBUN AVENUE                       ","            ",10312,1,0,1,"8,000","2,056",1975,1,"A2","$556,000",2013-05-02,556000,2056,8000,0
"2434",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6314,32," ","A1","214 DELMAR AVENUE                        ","            ",10312,1,0,1,"6,000","2,510",1977,1,"A1","$540,000",2012-11-16,540000,2510,6000,0
"2435",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6321,96," ","A1","120 DOWNES AVENUE                        ","            ",10312,1,0,1,"4,000","2,264",1970,1,"A1","$527,500",2013-06-12,527500,2264,4000,0
"2436",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6321,103," ","A2","214 ALBEE AVENUE                         ","            ",10312,1,0,1,"4,000","1,584",1970,1,"A2","$440,000",2013-02-25,440000,1584,4000,0
"2439",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6324,16," ","A1","5281 AMBOY ROAD                          ","            ",10312,1,0,1,"14,580","1,920",1920,1,"A1","$491,790",2013-05-23,491790,1920,14580,0
"2440",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6324,22," ","A1","5301 AMBOY ROAD                          ","            ",10312,1,0,1,"16,898","1,748",1920,1,"A1","$650,000",2013-06-11,650000,1748,16898,0
"2441",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6324,75," ","A1","115 COLLYER AVENUE                       ","            ",10312,1,0,1,"6,534","2,760",1980,1,"A1","$660,000",2012-08-09,660000,2760,6534,0
"2442",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6332,127," ","A1","44 COMFORT COURT                         ","            ",10312,1,0,1,"4,565","2,230",2002,1,"A1","$570,000",2013-01-14,570000,2230,4565,0
"2443",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6334,20," ","A1","628 IONIA AVENUE                         ","            ",10312,1,0,1,"4,000","1,520",1960,1,"A1","$262,500",2013-04-22,262500,1520,4000,0
"2444",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6337,56," ","A2","265 RAMONA AVENUE                        ","            ",10312,1,0,1,"4,500","836",1955,1,"A2","$365,000",2013-04-25,365000,836,4500,0
"2445",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6338,132," ","A1","621 RENSSELAER AVENUE                    ","            ",10312,1,0,1,"4,100","1,016",1935,1,"A1","$400,000",2013-05-23,4e+05,1016,4100,0
"2448",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6535,1," ","A1","389 COLON STREET                         ","            ",10312,1,0,1,"10,000","2,696",1980,1,"A1","$495,000",2013-06-10,495000,2696,10000,0
"2449",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6535,65," ","A1","409 COLON STREET                         ","            ",10312,1,0,1,"15,000","3,183",1980,1,"A1","$800,000",2012-11-28,8e+05,3183,15000,0
"2450",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6535,70," ","A1","399 COLON STREET                         ","            ",10312,1,0,1,"15,000","2,976",1980,1,"A1","$810,000",2012-12-04,810000,2976,15000,0
"2451",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6539,21," ","A1","1339 HUGUENOT AVENUE                     ","            ",10312,1,0,1,"6,950","1,424",1975,1,"A1","$520,000",2013-05-13,520000,1424,6950,0
"2453",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6552,36," ","A1","228 ARBUTUS AVENUE                       ","            ",10312,1,0,1,"9,000","1,512",1930,1,"A1","$420,000",2013-05-13,420000,1512,9000,0
"2454",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6568,1," ","A1","107 KINGDOM AVENUE                       ","            ",10312,1,0,1,"4,400","2,930",1996,1,"A1","$630,000",2012-12-27,630000,2930,4400,0
"2455",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6569,38," ","A2","14 COLON STREET                          ","            ",10312,1,0,1,"4,000","544",1950,1,"A2","$320,000",2013-06-19,320000,544,4000,0
"2456",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6569,47," ","A1","32 COLON STREET                          ","            ",10312,1,0,1,"4,000","2,571",1950,1,"A1","$615,000",2012-12-06,615000,2571,4000,0
"2458",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6574,41," ","A1","142 KINGDOM AVENUE                       ","            ",10312,1,0,1,"4,000","1,280",1930,1,"A1","$380,000",2012-10-02,380000,1280,4000,0
"2459",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6574,51," ","A1","162 KINGDOM AVENUE                       ","            ",10312,1,0,1,"4,000","1,280",1930,1,"A1","$350,000",2012-12-31,350000,1280,4000,0
"2460",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6575,3," ","A1","1073 HUGUENOT AVENUE                     ","            ",10312,1,0,1,"4,400","2,250",1984,1,"A1","$508,500",2013-05-06,508500,2250,4400,0
"2461",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6580,7," ","A3","715 JANSEN STREET                        ","            ",10312,1,0,1,"10,838","5,872",2011,1,"A3","$1,100,000",2012-08-30,1100000,5872,10838,0
"2462",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6582,12," ","A1","140 PRALL AVENUE                         ","            ",10312,1,0,1,"11,775","2,056",1975,1,"A1","$485,000",2013-02-06,485000,2056,11775,0
"2464",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6585,51," ","A1","966 HUGUENOT AVENUE                      ","            ",10312,1,0,1,"4,150","4,000",2002,1,"A1","$640,000",2012-11-08,640000,4000,4150,0
"2467",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6831,40," ","A1","728 HUGUENOT AVENUE                      ","            ",10312,1,0,1,"6,300","3,200",1980,1,"A1","$680,000",2012-09-05,680000,3200,6300,0
"2468",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6832,6," ","A2","280 ELLSWORTH AVENUE                     ","            ",10312,1,0,1,"6,360","1,200",1955,1,"A2","$74,000",2013-03-27,74000,1200,6360,0
"2469",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6832,49," ","A1","723 EDGEGROVE AVENUE                     ","            ",10312,1,0,1,"6,000","1,565",1920,1,"A1","$600,000",2013-07-02,6e+05,1565,6000,0
"2472",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6839,4," ","A1","791 MARCY AVENUE                         ","            ",10309,1,0,1,"4,230","1,060",1930,1,"A1","$391,000",2012-08-08,391000,1060,4230,0
"2473",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1B",6843,1," ","V0","608 HUGUENOT AVENUE                      ","            ",10312,1,0,1,"32,570","0",1955,1,"A2","$950,000",2012-12-27,950000,0,32570,0
"2482",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6869,8," ","A1","454 DARLINGTON AVENUE                    ","            ",10309,1,0,1,"5,000","4,010",2006,1,"A1","$855,000",2013-06-24,855000,4010,5000,0
"2483",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6869,17," ","A1","436 DARLINGTON AVENUE                    ","            ",10309,1,0,1,"12,000","3,604",1945,1,"A1","$900,000",2013-04-03,9e+05,3604,12000,0
"2484",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6872,9," ","A2","526 DARLINGTON AVENUE                    ","            ",10309,1,0,1,"4,000","1,680",1960,1,"A2","$41,578",2013-05-08,41578,1680,4000,0
"2486",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6875,112," ","A0","482 RAMONA AVENUE                        ","            ",10309,1,0,1,"4,050","1,112",1965,1,"A0","$360,000",2013-01-25,360000,1112,4050,0
"2488",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6878,31," ","A2","295 FOSTER ROAD                          ","            ",10309,1,0,1,"6,000","1,512",1970,1,"A2","$525,000",2013-06-13,525000,1512,6000,0
"2489",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6878,36," ","A1","974 EDGEGROVE AVENUE                     ","            ",10309,1,0,1,"4,000","975",1960,1,"A2","$350,000",2012-09-07,350000,975,4000,0
"2493",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6888,1," ","A5","503 FOSTER ROAD                          ","            ",10309,1,0,1,"3,136","1,668",1960,1,"A5","$330,000",2012-10-09,330000,1668,3136,0
"2494",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6889,25," ","A1","31 RAMAPO AVENUE                         ","            ",10309,1,0,1,"3,700","2,800",1985,1,"A1","$525,000",2012-10-12,525000,2800,3700,0
"2495",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6890,62," ","A2","731 STAFFORD AVENUE                      ","            ",10309,1,0,1,"4,000","1,934",1973,1,"A2","$510,000",2012-12-10,510000,1934,4000,0
"2496",5,"HUGUENOT                 ","01  ONE FAMILY HOMES                        ","1",6893,40," ","A5","78 RAMAPO AVENUE                         ","            ",10309,1,0,1,"2,000","1,800",1985,1,"A5","$413,500",2013-05-23,413500,1800,2000,0
"2498",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6309,25," ","B1","542 EDGEGROVE AVENUE                     ","            ",10312,2,0,2,"5,000","2,051",1970,1,"B1","$580,000",2013-03-18,580000,2051,5000,0
"2499",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6309,56," ","B2","157 DARLINGTON AVENUE                    ","            ",10312,2,0,2,"4,800","3,450",1997,1,"B2","$657,000",2013-04-10,657000,3450,4800,0
"2502",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6311,33," ","B2","290 DELMAR AVENUE                        ","            ",10312,2,0,2,"4,000","2,450",1979,1,"B2","$550,800",2013-05-29,550800,2450,4000,0
"2505",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6314,43," ","B1","481 RATHBUN AVENUE                       ","            ",10312,2,0,2,"4,000","3,160",1977,1,"B1","$570,000",2013-05-17,570000,3160,4000,0
"2507",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6315,13," ","B2","534 SHELDON AVENUE                       ","            ",10312,2,0,2,"10,000","5,446",1999,1,"B2","$865,500",2012-12-20,865500,5446,10000,0
"2513",5,"HUGUENOT                 ","02  TWO FAMILY HOMES                        ","1",6324,67," ","B2","105 COLLYER AVENUE                       ","            ",10312,2,0,2,"10,000","2,744",1980,1,"B2","$755,000",2012-12-20,755000,2744,10000,0
