"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"114",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6239,34," ","B2","652 WOODROW ROAD                         ","            ",10312,2,0,2,"6,200","2,604",1980,1,"B2","$580,000",2012-08-16,580000,2604,6200,0
"117",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6249,218," ","B2","24 TENAFLY PLACE                         ","            ",10312,2,0,2,"5,974","3,156",2012,1,"B2","$768,779",2012-09-25,768779,3156,5974,0
"119",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6249,219," ","B2","20 TENAFLY PLACE                         ","            ",10312,2,0,2,"6,026","3,405",2012,1,"B2","$768,779",2012-09-25,768779,3405,6026,0
"120",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6249,220," ","B2","16 TENAFLY PLACE                         ","            ",10312,2,0,2,"6,026","3,156",2012,1,"B2","$768,779",2012-10-22,768779,3156,6026,0
"122",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6249,642," ","B2","31 TENAFLY PLACE                         ","            ",10312,2,0,2,"4,583","3,681",2007,1,"B2","$765,000",2013-01-31,765000,3681,4583,0
"123",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6254,136," ","B2","145 SOUTH RAILROAD ST                    ","            ",10312,2,0,2,"3,600","2,496",2003,1,"B2","$570,000",2012-09-05,570000,2496,3600,0
"124",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6259,18," ","B2","236 DETROIT AVENUE                       ","            ",10312,2,0,2,"8,000","2,056",1982,1,"B2","$525,000",2013-03-01,525000,2056,8000,0
"125",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6260,39," ","B2","136 JEFFERSON BOULEVARD                  ","            ",10312,2,0,2,"7,550","2,688",1975,1,"B2","$560,000",2013-06-25,560000,2688,7550,0
"127",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6271,17," ","B2","466 JEFFERSON BLVD                       ","            ",10312,2,0,2,"4,000","2,535",2012,1,"B2","$702,592",2013-05-01,702592,2535,4000,0
"128",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6271,18," ","B2","462 JEFFERSON BOULEVARD                  ","            ",10312,2,0,2,"4,000","2,535",2012,1,"B2","$722,957",2012-11-30,722957,2535,4000,0
"129",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6271,19," ","B2","458 JEFFERSON BOULEVARD                  ","            ",10312,2,0,2,"4,000","2,535",2012,1,"B2","$697,501",2013-06-18,697501,2535,4000,0
"134",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6283,24," ","B2","327 IONIA AVENUE                         ","            ",10312,2,0,2,"5,900","2,328",1986,1,"B2","$540,000",2012-09-14,540000,2328,5900,0
"136",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6298,15," ","B1","90 RAMONA AVENUE                         ","            ",10312,2,0,2,"8,000","3,815",1979,1,"B1","$650,000",2012-10-19,650000,3815,8000,0
"140",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6320,90," ","B2","83 SOUTH RAILROAD ST                     ","            ",10312,2,0,2,"5,819","1,984",2004,1,"B2","$399,000",2012-08-02,399000,1984,5819,0
"145",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6360,51," ","B2","42 RYAN PLACE                            ","            ",10312,2,0,2,"6,000","3,120",1984,1,"B2","$725,000",2013-05-03,725000,3120,6000,0
"185",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5725,9," ","A5","11 CHATHAM STREET                        ","            ",10312,1,0,1,"1,400","1,920",2000,1,"A5","$376,000",2013-04-24,376000,1920,1400,0
"186",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5725,17," ","A5","33 CHATHAM STREET                        ","            ",10312,1,0,1,"1,400","1,420",1997,1,"A5","$355,000",2012-10-16,355000,1420,1400,0
